"","ID_Husband","Husband_Name","Endogamous_Count","Exogamous_Count","Concubinage_Count"
"1","AKM_0148","زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,1,3
"2","AKM_0219","محمد بن عمر بن محمد بن عمر بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",1,0,0
"3","AKM_0221","الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",1,0,5
"4","AKM_0222","عيسى بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",2,1,1
"5","AKM_0223","محمد بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,0,0
"6","AKM_0225","يحيى بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",1,0,7
"7","AKM_0226","علي بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,2,0
"8","AKM_0227","محمد بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",1,0,0
"9","AKM_0228","عبد الله بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",1,0,1
"10","AKM_0229","القاسم بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,2,0
"11","AKM_0230","الحسين بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,0,3
"12","AKM_0231","أحمد بن يحيى بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,1,0
"13","AKM_0232","محمد بن يحيى بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,1,2
"14","AKM_0233","علي بن يحيى بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,0,0
"15","AKM_0234","عمر بن يحيى بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,3,0
"16","AKM_0235","عيسى بن يحيى بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",2,0,2
"17","AKM_0236","الحسن بن يحيى بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",3,0,0
"18","AKM_0237","حمزة بن يحيى بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,2,0
"19","AKM_0238","يحيى بن يحيى بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,0,1
"20","AKM_0239","القاسم بن يحيى بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,2,0
"21","AKM_0249","زيد بن عيسى بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,0,1
"22","AKM_0262","محمد بن علي بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",1,0,2
"23","AKM_0263","زيد بن علي بن الحسين بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,0,3
"24","AKM_0277","الحسين بن عيسى بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,1,3
"25","AKM_0278","محمد بن عيسى بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,0,0
"26","AKM_0286","محمد بن زيد بن عيسى بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",0,1,0
"27","AKM_0287","جعفربن محمد بن زيد بن عيسى بن زيد بن علي بن الحسين بن علي بن أبي طالب بن عبد المطلب",1,0,4
